,cpu_rank,cpu_name
487,488,Intel Core i5-560UM
488,489,AMD A8-6410
489,490,Intel Cerelon N2820
490,491,Intel Pentium 2117U
491,492,Intel Atom Z3736F
492,493,Intel Pentium B940
493,494,Intel Celeron 1037U
494,495,AMD A4-5150M
495,496,AMD Turion II Ultra M600
496,497,Intel Pentium B997
497,498,Intel Core 2 Duo P7550
498,499,AMD A6-7050B
499,500,Intel Core 2 Duo SP9300
500,501,Intel Pentium P6100
501,502,Intel Core i7-640UM
502,503,AMD Turion II P520
503,504,AMD A4-3300MX
504,505,Intel Core 2 Duo P7450
505,506,AMD A6-4400M
506,507,AMD A4-3300M
507,508,nVidia Tegra 3
508,509,Intel Core Duo T4500
509,510,AMD A6-5350M
510,511,Intel Atom Z3740
511,512,AMD Athlon II P360
512,513,Intel Atom Z3745
513,514,Intel Core 2 Duo T8300
514,515,AMD Athlon II M520
515,516,AMD Athlon II M340
516,517,AMD A4-3305MX
517,518,Intel Pentium B987
518,519,Intel Core 2 Duo T6600
519,520,Intel Core 2 Duo T5900
520,521,Intel Core Duo T2700
521,522,Intel Core 2 Duo T6500
522,523,Intel Core 2 Duo T8100
523,524,Intel Core 2 Duo T6670
524,525,Intel Pentium Dual Core T4400
525,526,Intel Core Duo T4300
526,527,Intel Core 2 Duo SL9400
527,528,AMD Athlon II N330
528,529,Intel Core 2 Duo T7500
529,530,Intel Atom Processor Z3735E
530,531,Intel Atom Z3735F
531,532,Intel Core 2 Duo T7300
532,533,AMD A4-3305M
533,534,Intel Core Duo T2130
534,535,AMD Athlon II P340
535,536,Intel Core 2 Duo T7250
536,537,Intel Core 2 Duo T8100
537,538,Intel Core 2 Duo P7350
538,539,Intel Core Duo T2400
539,540,Intel Core 2 Duo T5550
540,541,Intel Core 2 Duo P7350
541,542,Intel Core 2 Duo T5750
542,543,Intel Core 2 Duo SP7700
543,544,Intel Core Duo T3400
544,545,Intel Core 2 Duo SL9400
545,546,AMD Turion X2 QL-65
546,547,Intel Core Duo T4200
547,548,Intel Core 2 Duo T6570
548,549,AMD Turion 64 X2 TL-62
549,550,Intel Pentium P6000
550,551,AMD Turion II P540
