,gpu_rank,gpu_name
624,625,ATI Mobility Radeon X300
625,626,VIA Unichrome Pro
626,627,NVIDIA GeForce Go6150
627,628,NVIDIA UMA
628,629,ATI Radeon Xpress 1150
629,630,ATI Radeon Xpress 200M
630,631,Mobile Intel S45GU Express
631,632,"UMA ATI RS485M , VRAM 128"
632,633,SiS Mirage 3+ Shared
633,634,NVIDIA GeForce Go6100
634,635,NVIDIA C51M
635,636,Intel GL960
636,637,NVIDIA GeForce Go6200
637,638,AGP 8X hardware 2D/3D Integrated
638,639,Intel GMA 3150
639,640,On Board
640,641,S3 GammaChome XM18
641,642,SiS M672
642,643,SiS M760GX
643,644,VIA Chrome 9 with up to 256 Mb
644,645,Intel GMA950
645,646,Intel GMA500
646,647,Intel GMA900
647,648,ATI Radeon Xpress 1100
648,649,Intel GMA128
649,650,Radeon TMR4 Graphics
650,651,AMD Radeon Pro 450
651,652,Intel HD Graphics 405
652,653,AMD FirePro M4100
653,654,AMD Radeon Pro 455
654,655,PowerVR GE8320
