,gpu,cpu,panel_type,size,resolution,refresh_rate,touch_screen,memory_slot,hard_disk_drive,hdmi,displayport,d_sub_vga,thunderbolt,bluetooth,os_bundle,web_camera,optical_drive,fingerprint,body_material,weight,keyboard_backlit,numpad,other_detail,warranty,m2PCIe_slot,m2Combo_slot,m2SATA_slot,mem_size,mem_type,mem_onboard,ssd_size,usbtype_A,usbtype_C,prices
55,AMD Radeon RX 6600M,AMD Ryzen 7 5800H,IPS,15.6,3686400,165,0,2,no,1,0,0,0,Bluetooth 5.1,Windows 11,HD,0,0,Plastic,2.4,yes,yes,yes,3,2,0,0,16,DDR4,0,512,4,2,44990
56,AMD Radeon RX 6600M,AMD Ryzen 7 5800H,IPS,15.6,2073600,144,0,2,no,1,0,0,0,Bluetooth 5.1,Windows 10,HD,0,0,Plastic,2.35,yes,yes,no,2,2,0,0,16,DDR4,0,512,1,1,48990
57,AMD Radeon RX 6600M,AMD Ryzen 7 5800H,IPS,15.6,2073600,144,0,2,no,1,0,0,0,Bluetooth 5.1,Windows 10,HD,0,0,Plastic,2.35,yes,yes,no,2,2,0,0,16,DDR4,0,1000,1,1,50490
58,AMD Radeon RX 6600M,AMD Ryzen 7 5800H,IPS,16.1,3686400,165,0,2,no,1,2,0,0,Bluetooth 5.2,Windows 10,HD,0,0,Plastic,2.32,yes,yes,no,3,1,0,0,16,DDR4,0,512,3,1,51990
59,AMD Radeon RX 6700M,AMD Ryzen 9 5900HX,IPS,15.6,2073600,240,0,2,no,1,0,0,0,Bluetooth 5.2,Windows 10,HD,0,0,Aluminium,1.9,yes,no,no,2,2,0,0,16,DDR4,0,1000,2,2,59990
60,AMD Radeon RX 6700M,AMD Ryzen 9 5900HX,IPS,15.6,2073600,240,0,2,no,1,0,0,0,Bluetooth 5.2,Windows 10,HD,0,0,Aluminium,1.9,yes,no,no,2,2,0,0,32,DDR4,0,1000,2,2,62990
61,AMD Radeon RX 6700S,AMD Ryzen 7 6800HS,IPS,14.0,4096000,120,0,2,no,1,0,0,0,Bluetooth 5.2,Windows 11,HD,0,0,Aluminium + Plastic,1.72,yes,no,yes,3,1,0,0,16,DDR5,0,1000,2,2,69990
62,AMD Radeon RX 6800M,AMD Ryzen 9 5900HX,IPS,15.6,2073600,300,0,2,no,1,0,0,0,Bluetooth 5.1,Windows 10,none,0,0,Aluminium,2.5,yes,no,no,3,2,0,0,16,DDR4,0,1000,3,1,64990
63,AMD Radeon RX 6800M,AMD Ryzen 9 5900HX,IPS,15.6,3686400,165,0,2,no,1,0,0,0,Bluetooth 5.1,Windows 10,none,0,0,Aluminium,2.5,yes,no,no,3,2,0,0,16,DDR4,0,1000,3,1,59990
64,AMD Radeon RX 6800S,AMD Ryzen 9 6900HS,IPS,14.0,4096000,120,0,2,no,1,0,0,0,Bluetooth 5.2,Windows 11,HD,0,0,Aluminium + Plastic,1.72,yes,no,no,3,1,0,0,32,DDR5,0,1000,2,2,79990
65,AMD Radeon RX Vega 10,AMD Ryzen 7 2700U,TN,15.6,2073600,60,0,1,yes,1,0,0,0,Bluetooth 4.1,Windows 10,Below HD,0,0,Plastic,2.3,no,yes,no,2,0,1,0,8,DDR4,0,0,2,0,17990
66,AMD Radeon RX Vega 10,AMD Ryzen 7 3700U,IPS,15.6,2073600,60,0,2,no,1,0,0,0,Bluetooth 4.2,Windows 11,Below HD,0,0,Plastic,1.8,yes,yes,yes,2,0,2,0,8,DDR4,1,512,2,1,20990
67,AMD Radeon RX Vega 10,AMD Ryzen 7 3700U,IPS,15.6,2073600,60,0,2,no,1,0,0,0,Bluetooth 5.0,Windows 11,HD,0,0,Aluminium,1.69,yes,yes,yes,2,0,2,0,8,DDR4,0,512,1,0,24990
68,AMD Radeon RX Vega 10,AMD Ryzen 7 3700U,IPS,15.6,2073600,60,0,2,no,1,0,0,0,Bluetooth 5.0,Windows 11,HD,0,0,Aluminium,1.69,yes,yes,yes,2,0,2,0,8,DDR4,0,512,1,0,25990
69,AMD Radeon RX Vega 10,AMD Ryzen 7 3700U,IPS,15.6,2073600,60,0,1,no,1,0,0,0,Bluetooth 5.0,Windows 10,HD,0,0,Plastic,1.96,no,yes,yes,2,1,0,0,8,DDR4,0,512,1,0,20790
70,AMD Radeon RX Vega 10,AMD Ryzen 7 3700U,IPS,15.6,2073600,60,0,1,no,1,0,0,0,Bluetooth 5.0,Windows 10,HD,0,1,Aluminium,1.53,yes,no,no,2,1,0,0,8,DDR4,0,512,2,1,18990
71,AMD Radeon RX Vega 10,AMD Ryzen 7 3700U,IPS,14.0,2073600,60,0,1,no,1,0,0,0,Bluetooth 5.0,Windows 10,HD,0,0,Aluminium,1.39,yes,no,no,2,1,0,0,8,DDR4,0,512,1,1,21550
72,AMD Radeon RX Vega 10,AMD Ryzen 7 3700U,IPS,17.3,1440000,60,0,2,no,1,0,0,0,Bluetooth 5.0,Windows 10,HD,0,0,Aluminium + Plastic,2.3,yes,no,no,2,1,0,0,8,DDR4,1,512,2,1,19000
73,AMD Radeon RX Vega 10,AMD Ryzen 7 3700U,IPS,15.6,2073600,60,0,2,no,1,0,0,0,Bluetooth 5.0,Windows 10,HD,0,0,Plastic,1.96,no,yes,no,2,1,0,0,8,DDR4,0,512,1,0,19990
74,AMD Radeon RX Vega 10,AMD Ryzen 7 3700U,IPS,15.6,2073600,60,0,1,no,1,0,0,0,Bluetooth 5.0,Windows 10,HD,0,0,Plastic,1.96,no,yes,no,2,1,0,0,8,DDR4,0,512,1,0,19190
75,AMD Radeon RX Vega 10,AMD Ryzen 7 3700U,IPS,15.6,2073600,60,0,1,no,1,0,0,0,Bluetooth 5.0,Windows 10,HD,0,0,Plastic,1.96,no,yes,no,2,1,0,0,8,DDR4,0,512,1,0,19900
76,AMD Radeon RX Vega 10,AMD Ryzen 7 3700U,IPS,14.0,2073600,60,0,1,no,1,0,0,0,Bluetooth 5.0,Windows 10,HD,0,0,Aluminium,1.38,yes,no,no,2,1,0,0,8,DDR4,0,512,2,1,21990
77,AMD Radeon RX Vega 10,AMD Ryzen 7 3700U,IPS,14.0,2073600,60,0,1,no,1,0,0,0,Bluetooth 4.2,Windows 10,HD,0,0,Aluminium + Plastic,1.15,yes,no,no,2,1,0,0,8,DDR4,0,512,1,1,24900
78,AMD Radeon RX Vega 10,AMD Ryzen 7 3700U,IPS,15.6,2073600,60,0,2,no,1,0,0,0,Bluetooth 4.2,Windows 10,HD,0,1,Plastic,1.74,no,no,no,2,0,0,1,8,DDR4,0,512,2,1,17990
79,AMD Radeon RX Vega 10,AMD Ryzen 7 3700U,IPS,14.0,2073600,60,0,1,no,1,0,0,0,Bluetooth 4.2,Windows 10,HD,0,1,Aluminium + Plastic,1.6,yes,no,no,2,1,0,0,12,DDR4,0,1000,2,1,24990
